stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,notes,needs_human_review
011,011.jpg,green_form_0264.jpg,color-field-painting/green_form_0264.jpg,color-field-painting,"A bright green oval shape opens at the center over a tan background. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A bright green circle shape opens at the center over a tan background. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two indigo panels and a sand ring divide a calm ground, while a dark brick bar cuts diagonally through it. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
012,012.jpg,no_5_no_22_0055.jpg,color-field-painting/no_5_no_22_0055.jpg,color-field-painting,"A thick red band crosses a yellow-orange field at the center. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","A thick red band crosses a yellow-orange plane at the center. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","An indigo lattice, a slate disk, and a small coral stripe are arranged across a quiet surface. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
013,013.jpg,the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting/the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting,"An off-white field is split by a thin vertical black streak near the right edge. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","An off-white field is split by a thin vertical black line near the right edge. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A cobalt block anchors the center of a muted plane, joined by a small amber ring and a taupe bar off to one side. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
014,014.jpg,untitled_0159.jpg,color-field-painting/untitled_0159.jpg,color-field-painting,"A yellow field is broken by a dark jagged corner and a red patch. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A yellow plane is broken by a dark jagged corner and a red patch. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two olive arcs circle a brick square on a soft ground, with a thin mint line holding the composition together. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
015,015.jpg,untitled_0170.jpg,color-field-painting/untitled_0170.jpg,color-field-painting,"Blue geometric shards cross a white background in sharp diagonals. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","Blue geometric shards cross a white ground in sharp diagonals. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","A cluster of mint shapes drifts across a dusty ground, leaving a charcoal disk and a dark amber stripe near one edge. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
016,016.jpg,untitled_0213.jpg,color-field-painting/untitled_0213.jpg,color-field-painting,"Cream and black angular shapes meet across the center in a bold arrangement. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Cream and black angular forms meet across the center in a bold arrangement. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two taupe panels and an olive ring divide a calm plane, while a dark charcoal bar cuts diagonally through it. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
017,017.jpg,untitled_mural_for_end_wall_0222.jpg,color-field-painting/untitled_mural_for_end_wall_0222.jpg,color-field-painting,"A dark brown square sits inside a bright orange border. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","A dark brown rectangle sits inside a bright orange border. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","A pearl stripe and a mauve grid sit on a muted ground, with a thin slate line crossing near the center. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
018,018.jpg,absinth_drinker_0102.jpg,expressionism/absinth_drinker_0102.jpg,expressionism,"A man leans over a table in a dim room with a glass beside him. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A figure leans over a table in a dim room with a glass beside them. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A sand block anchors the center of a muted surface, joined by a small cobalt ring and an indigo bar off to one side. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=figurative; source=direct_image_inspection,False
019,019.jpg,ascet_0276.jpg,expressionism/ascet_0276.jpg,expressionism,"An elderly man sits against a blue background, holding a plate and cup. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","An elderly figure sits against a blue background, holding a plate and cup. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","A pearl disk and an amber arc sit on a muted surface, with a thin mauve line crossing near the center. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=portrait; source=direct_image_inspection,False
020,020.jpg,canal_du_midi_0128.jpg,expressionism/canal_du_midi_0128.jpg,expressionism,"A canal landscape stretches under a wide sky with distant buildings and water. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A canal scene stretches under a wide sky with distant buildings and water. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A teal stripe and an indigo disk interrupt a soft field, while a darker rust panel sits nearby. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=landscape; source=direct_image_inspection,False
021,021.jpg,children_with_the_lamp_0237.jpg,expressionism/children_with_the_lamp_0237.jpg,expressionism,"Two children stand close together around a red lamp in a warm interior. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two children stand close together around a red object in a warm interior. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A cluster of taupe shapes drifts across a dusty field, leaving a coral disk and a dark brick stripe near one edge. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=figurative; source=direct_image_inspection,False
022,022.jpg,christand_robber_0064.jpg,expressionism/christand_robber_0064.jpg,expressionism,"Two figures appear in a dark red scene with a bright horizontal form between them. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two forms appear in a dark red scene with a bright horizontal form between them. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","An amber stripe and a coral disk interrupt a soft ground, while a darker rust panel sits nearby. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=figurative; source=direct_image_inspection,False
023,023.jpg,das_tor_0026.jpg,expressionism/das_tor_0026.jpg,expressionism,"A narrow stone doorway opens in a weathered wall with a dark interior. Walls, openings, and furniture create a clear geometry that guides the eye from one part of the room to another across the frame.","A narrow stone passage is set in a weathered wall with a dark interior. Walls, openings, and furniture create a clear geometry that guides the eye from one part of the room to another across the frame.","A sand stripe and an indigo disk interrupt a soft plane, while a darker taupe panel sits nearby. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=interior; source=direct_image_inspection,False
024,024.jpg,despair_0035.jpg,expressionism/despair_0035.jpg,expressionism,"A lone rider follows a coastal road toward a distant horizon. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view. The arrangement stays visually clear from edge to edge.","A lone figure follows a coastal road toward a distant horizon. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view. The arrangement stays visually clear from edge to edge.","Two cobalt panels and a taupe ring divide a calm ground, while a dark mauve bar cuts diagonally through it. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=landscape; source=direct_image_inspection,False
025,025.jpg,female_head_0208.jpg,expressionism/female_head_0208.jpg,expressionism,"A blue-green portrait shows a woman with dark hair and a red scarf. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","A blue-green portrait shows a figure with dark hair and a red scarf. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","Two teal panels and a mint ring divide a calm surface, while a dark sand bar cuts diagonally through it. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=portrait; source=direct_image_inspection,False
026,026.jpg,fertility_ii_0197.jpg,expressionism/fertility_ii_0197.jpg,expressionism,"Two figures stand in a green field near a tree and a shallow bowl. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two forms stand in a green field near a tree and a shallow bowl. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A taupe lattice, a pearl disk, and a small amber stripe are arranged across a quiet surface. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=figurative; source=direct_image_inspection,False
027,027.jpg,girl_and_death_0055.jpg,expressionism/girl_and_death_0055.jpg,expressionism,"A black-and-white drawing shows two nude figures locked in an embrace. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A black-and-white drawing shows two nude forms locked in an embrace. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two coral panels and a mauve ring divide a calm surface, while a dark olive bar cuts diagonally through it. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=figurative; source=direct_image_inspection,False
028,028.jpg,girl_combing_her_hair_0037.jpg,expressionism/girl_combing_her_hair_0037.jpg,expressionism,"A seated figure bends forward in an interior washed with red and pale tones. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A seated form bends forward in an interior washed with red and pale tones. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","An ochre panel and a pale coral oval cross a flat plane, with a darker teal patch below. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=figurative; source=direct_image_inspection,False
029,029.jpg,gretchen_0114.jpg,expressionism/gretchen_0114.jpg,expressionism,"A slender woman stands with folded hands in a sparse black-and-white sketch. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","A slender figure stands with folded hands in a sparse black-and-white sketch. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","Two slate arcs circle a brick square on a soft plane, with a thin ochre line holding the composition together. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=portrait; source=direct_image_inspection,False
030,030.jpg,man_and_woman_0101.jpg,expressionism/man_and_woman_0101.jpg,expressionism,"A man and woman lean together in a warm, dark-toned nude composition. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two figures lean together in a warm, dark-toned nude composition. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A cream block anchors the center of a muted ground, joined by a small ochre ring and a slate bar off to one side. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=figurative; source=direct_image_inspection,False
031,031.jpg,maternit_233_after_picasso_0194.jpg,expressionism/maternit_233_after_picasso_0194.jpg,expressionism,"A mother sits with a child on her lap in a simplified blue interior. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A woman sits with a child on her lap in a simplified blue interior. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A taupe band overlaps a pale field, with a mint block and a brick curve below. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=figurative; source=direct_image_inspection,False
032,032.jpg,miguel_de_cervantes_0146.jpg,expressionism/miguel_de_cervantes_0146.jpg,expressionism,"A lone figure walks along a road through open countryside under a gray sky. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A lone form walks along a road through open countryside under a gray sky. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A charcoal wedge and a mint loop rest against a calm field, with a narrow teal line running through the middle. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=landscape; source=direct_image_inspection,False
033,033.jpg,misery_0089.jpg,expressionism/misery_0089.jpg,expressionism,"A dark interior shows a reclining figure beside a window and bed. Walls, openings, and furniture create a clear geometry that guides the eye from one part of the room to another across the frame.","A dark interior shows a reclining form beside a window and bed. Walls, openings, and furniture create a clear geometry that guides the eye from one part of the room to another across the frame.","A cobalt curve and a mint stripe sit on a muted ground, with a thin violet line crossing near the center. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=interior; source=direct_image_inspection,False
034,034.jpg,mother_and_child_on_the_beach_0214.jpg,expressionism/mother_and_child_on_the_beach_0214.jpg,expressionism,"A woman carries a child at the edge of a beach with the sea behind. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A figure carries a child at the edge of a beach with the sea behind. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A brick band overlaps a pale surface, with a taupe block and a pearl curve below. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=figurative; source=direct_image_inspection,False
035,035.jpg,night_0017.jpg,expressionism/night_0017.jpg,expressionism,"A dim room holds a bed and window, with light falling in long diagonal bands. Walls, openings, and furniture create a clear geometry that guides the eye from one part of the room to another across the frame.","A dim room holds a bed and window, with light falling in long diagonal bars. Walls, openings, and furniture create a clear geometry that guides the eye from one part of the room to another across the frame.","Two mauve panels and an amber ring divide a calm ground, while a dark sand bar cuts diagonally through it. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=interior; source=direct_image_inspection,False
036,036.jpg,old_fisherman_0239.jpg,expressionism/old_fisherman_0239.jpg,expressionism,"An old fisherman faces forward with clasped hands and a coastal background. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","An old fisherman faces forward with clasped hands and a coastal ground. Muted tones and a plain background keep the face, clothing, and nearby details clearly separated, with the main figure staying central in the frame.","A sand arc and a charcoal grid sit on a muted plane, with a thin coral line crossing near the center. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=portrait; source=direct_image_inspection,False
037,037.jpg,peat_digging_0251.jpg,expressionism/peat_digging_0251.jpg,expressionism,"A narrow water channel cuts through dark land in a peat-digging landscape. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A narrow water channel cuts through dark land in a peat-digging scene. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","An indigo stripe and a coral disk interrupt a soft field, while a darker violet panel sits nearby. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=landscape; source=direct_image_inspection,False
038,038.jpg,radiant_sunset_0262.jpg,expressionism/radiant_sunset_0262.jpg,expressionism,"A radiant sun rises over fields with dark trees and open sky. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A radiant disk rises over fields with dark trees and open sky. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A coral band overlaps a pale field, with a mauve block and a sand curve below. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=landscape; source=direct_image_inspection,False
039,039.jpg,separation_0085.jpg,expressionism/separation_0085.jpg,expressionism,"A dark-clad figure stands near a pale flowing shape in an open setting. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A dark-clad form stands near a pale flowing shape in an open setting. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A cluster of slate shapes drifts across a dusty surface, leaving an amber disk and a dark mauve stripe near one edge. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=figurative; source=direct_image_inspection,False
040,040.jpg,skeletons_fighting_over_a_pickled_herring_0031.jpg,expressionism/skeletons_fighting_over_a_pickled_herring_0031.jpg,expressionism,"Two skeletons struggle over a fish against a soft pink background. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two skeletons struggle over a fish-like form against a soft pink background. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","Two mint panels and an olive ring divide a calm field, while a dark cobalt bar cuts diagonally through it. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=figurative; source=direct_image_inspection,False
041,041.jpg,the_family_of_blind_man_0291.jpg,expressionism/the_family_of_blind_man_0291.jpg,expressionism,"A blue-toned family scene centers on a blind man holding a child. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A blue-toned family scene centers on a blind figure holding a child. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A mauve panel and a pale slate oval cross a flat plane, with a darker indigo patch below. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=figurative; source=direct_image_inspection,False
042,042.jpg,the_victorious_dragon_0144.jpg,expressionism/the_victorious_dragon_0144.jpg,expressionism,"A dark dragon-like figure rises against a black background with pale markings. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A dark dragon-like form rises against a black background with pale markings. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","An ochre panel and a pale coral oval cross a flat surface, with a darker olive patch below. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=figurative; source=direct_image_inspection,False
043,043.jpg,woman_with_dead_child_0295.jpg,expressionism/woman_with_dead_child_0295.jpg,expressionism,"A woman bends over a dead child in a muted graphite drawing. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A figure bends over a dead child in a muted graphite drawing. Muted tones and a plain background keep the figure, clothing, and nearby objects clearly separated, with the main body staying central in the frame.","A charcoal wedge and an amber loop rest against a calm plane, with a narrow taupe line running through the middle. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=figurative; source=direct_image_inspection,False
044,044.jpg,woman_with_goose_0258.jpg,expressionism/woman_with_goose_0258.jpg,expressionism,"A woman with a goose stands near a shore in a restrained landscape. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","A figure with a goose stands near a shore in a restrained landscape. Sky, ground, and horizon divide the scene into broad bands, while smaller details add depth without breaking the open structure of the view.","Two mint panels and a rust ring divide a calm plane, while a dark taupe bar cuts diagonally through it. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=landscape; source=direct_image_inspection,False
045,045.jpg,chicken_wire_0298.jpg,minimalism/chicken_wire_0298.jpg,minimalism,"A pale hexagonal grid covers the surface in a quiet repeating pattern. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A pale hexagonal grid covers the plane in a quiet repeating pattern. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A taupe wedge and a teal loop rest against a calm field, with a narrow ochre line running through the middle. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
046,046.jpg,d1_6_0207.jpg,minimalism/d1_6_0207.jpg,minimalism,"A large black circle hangs above a smaller dark shape on white. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A large black oval hangs above a smaller dark shape on white. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A cream panel and a pale indigo oval cross a flat surface, with a darker charcoal patch below. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
047,047.jpg,sex_symbol_0190.jpg,minimalism/sex_symbol_0190.jpg,minimalism,"A black circle is framed by pale cream arcs and a curved base. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A black oval is framed by pale cream arcs and a curved base. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A cluster of mint shapes drifts across a dusty ground, leaving a taupe disk and a dark amber stripe near one edge. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=abstract; source=direct_image_inspection,False
048,048.jpg,split_ring_image_1_2009_0041.jpg,minimalism/split_ring_image_1_2009_0041.jpg,minimalism,"A bright ring is split into yellow and orange halves around a blank center. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A bright oval is split into yellow and orange halves around a blank center. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A violet stripe and a brick disk interrupt a soft plane, while a darker charcoal panel sits nearby. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
