stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
011,011.jpg,candidate_018_expressionism_primitive_heads_1924.jpg,candidate_images/chosen/candidate_018_expressionism_primitive_heads_1924.jpg,expressionism,Zwei dunkle maskenartige Köpfe stehen nebeneinander vor hellem Hintergrund. Die Gesichter und Halsformen sind klar voneinander getrennt.,Zwei dunkle kopfähnliche Formen stehen nebeneinander vor hellem Hintergrund. Die oberen Formen und unteren Bereiche sind klar getrennt.,Drei helle maskenartige Köpfe stehen gestaffelt vor dunklem Hintergrund. Zwischen den Gesichtern bleiben breite helle Zwischenräume.,Two dark mask-like heads stand side by side before a light background. The faces and neck forms are clearly separated.,Two dark head-like forms stand side by side before a light background. The upper forms and lower areas are clearly separated.,Three light mask-like heads stand in staggered positions before a dark background. Wide light spaces remain between the faces.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
012,012.jpg,no_5_no_22_0055.jpg,color-field-painting/no_5_no_22_0055.jpg,color-field-painting,Eine breite rote waagerechte Linie läuft durch ein gelbes Feld. Das Bild ist ruhig und besteht fast nur aus zwei Farbbereichen.,Eine breite dunklere waagerechte Linie läuft durch ein helles gelbes Feld. Das Bild ist ruhig und sehr flächig aufgebaut.,Zwei schmale rote Linien laufen senkrecht durch ein helles gelbes Feld. Die Mitte ist unterbrochen und wirkt weniger ruhig als die Seiten.,A wide red horizontal line runs through a yellow field. The image is calm and consists almost only of two color areas.,A wide darker horizontal line runs through a light yellow field. The image is calm and very flat in structure.,Two narrow red lines run vertically through a light yellow field. The center is interrupted and feels less calm than the sides.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
013,013.jpg,the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting/the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting,Eine helle fast leere Fläche wird rechts von einer schmalen dunklen senkrechten Spur geteilt. Kleine Flecken liegen am unteren Rand.,Eine helle Fläche wird rechts von einer schmalen dunklen senkrechten Form geteilt. Wenige kleine Spuren liegen nahe am Rand.,Eine dunkle waagerechte Spur liegt mittig in einer gelblichen Fläche. Mehrere große farbige Flecken füllen den oberen und unteren Rand.,"A light, almost empty surface is divided on the right by a narrow dark vertical trace. Small spots lie along the lower edge.",A light surface is divided on the right by a narrow dark vertical form. A few small traces lie near the edge.,A dark horizontal trace lies in the middle of a yellowish surface. Several large colored spots fill the upper and lower edge.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
014,014.jpg,untitled_0159.jpg,color-field-painting/untitled_0159.jpg,color-field-painting,Ein gelbes Feld wird oben links von einer dunklen roten und schwarzen Spur unterbrochen. Die meisten Flächen bleiben groß und ruhig.,Ein helles gelbes Feld wird von einer dunklen Spur am oberen Rand unterbrochen. Die meisten Flächen bleiben groß und ruhig.,Ein helles gelbes Feld wird unten rechts von einer breiten dunklen Spur geteilt. Oben bleibt die Fläche fast vollständig leer.,A yellow field is interrupted at the upper left by a dark red and black trace. Most areas remain large and calm.,A light yellow field is interrupted by a dark trace along the upper edge. Most areas remain large and calm.,A light yellow field is divided at the lower right by a broad dark trace. The upper part remains almost completely empty.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
015,015.jpg,untitled_0170.jpg,color-field-painting/untitled_0170.jpg,color-field-painting,Blaue und weiße spitze Flächen kreuzen sich diagonal. Die Formen wirken wie Segel oder scharfe Stoffbahnen vor hellem Grund.,Blaue und weiße spitze Flächen kreuzen sich diagonal. Die Formen wirken kantig und teilen den hellen Grund in mehrere Teile.,Mehrere rote und schwarze spitze Flächen kreuzen sich flach in der Bildmitte. Der Grund ist dunkel und die Diagonalen wirken kaum nach oben gezogen.,Blue and white pointed areas cross diagonally. The forms look like sails or sharp fabric strips on a light ground.,Blue and white pointed areas cross diagonally. The angular forms divide the light ground into several parts.,Several red and black pointed areas cross flatly in the image center. The ground is dark and the diagonals barely rise upward.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
016,016.jpg,candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,candidate_images/chosen/candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,surrealism,Bunte schneckenartige Formen liegen auf dunklem Grund und rollen sich ineinander. Die großen Farbflächen sind klar voneinander abgegrenzt.,Bunte gerundete Formen liegen auf dunklem Grund und rollen sich ineinander. Die großen Farbflächen sind klar voneinander abgegrenzt.,Zwei große glatte Kreisformen liegen getrennt auf hellem Grund. Die bunten Spiralen fehlen weitgehend und die Formen berühren sich kaum.,Colorful snail-like forms lie on a dark ground and curl into one another. The large color areas are clearly separated.,Colorful rounded forms lie on a dark ground and curl into one another. The large color areas are clearly separated.,Two large smooth circular forms lie separately on a light ground. The colorful spirals are mostly absent and the forms barely touch.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
017,017.jpg,untitled_mural_for_end_wall_0222.jpg,color-field-painting/untitled_mural_for_end_wall_0222.jpg,color-field-painting,"Ein dunkles Rechteck liegt in einem leuchtend roten Rahmen. Die Mitte ist groß und ruhig, während der Rand stark hervorsticht.","Eine dunkle rechteckige Fläche liegt in einem leuchtenden roten Rahmen. Die Mitte bleibt ruhig, während der Rand stark hervorsticht.",Ein helles Rechteck liegt in einem schmalen dunklen Rahmen. Der rote Rand ist nur schwach sichtbar und die Mitte wirkt unruhig strukturiert.,"A dark rectangle lies inside a bright red frame. The center is large and calm, while the edge stands out strongly.","A dark rectangular area lies inside a bright red frame. The center remains calm, while the edge stands out strongly.",A light rectangle lies inside a narrow dark frame. The red edge is only weakly visible and the center looks unevenly textured.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
018,018.jpg,absinth_drinker_0102.jpg,expressionism/absinth_drinker_0102.jpg,expressionism,"Ein Mann beugt sich an einem Tisch über ein kleines helles Glas. Gesicht, Hände und Lichtpunkt sind in dunkler Umgebung gebündelt.","Eine dunkle Figur beugt sich an einem Tisch über eine kleine helle Form. Gesicht, Hände und Lichtpunkt sind eng gebündelt.","Ein Mann sitzt aufrecht an einem hellen Tisch und schaut direkt nach vorne. Die kleine Lichtform liegt seitlich, und die Szene ist nur wenig verschattet.","A man bends over a small light glass at a table. Face, hands, and light point are grouped in a dark setting.","A dark figure bends over a small light form at a table. Face, hands, and light point are tightly grouped.","A man sits upright at a light table and looks directly forward. The small light form lies to the side, and the scene is only slightly shadowed.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
019,019.jpg,ascet_0276.jpg,expressionism/ascet_0276.jpg,expressionism,"Ein Mann in blauem Oberteil sitzt frontal vor blauem Hintergrund. Teller, Tischkante und Gesicht bilden ruhige zentrale Bereiche.",Eine sitzende blaue Figur steht frontal vor blauem Hintergrund. Helle ovale Formen und Tischkante bilden ruhige zentrale Bereiche.,"Eine blau gekleidete Person beugt sich tief über einen dunklen Tisch. Gesicht und Teller liegen seitlich, während der Hintergrund eher braun wirkt.","A man in a blue top sits frontally before a blue background. Plate, table edge, and face form calm central areas.",A seated blue figure stands frontally before a blue background. Light oval forms and the table edge form calm central areas.,"A blue-clothed person bends deeply over a dark table. Face and plate lie to the side, while the background looks more brown.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
020,020.jpg,canal_du_midi_0128.jpg,expressionism/canal_du_midi_0128.jpg,expressionism,"Eine weite Landschaft mit Wasser, Himmel und einem Steg füllt das Bild. Helle Wolken und bunte Pinselstriche führen in die Tiefe.","Eine weite Landschaft mit hellen und dunklen Bändern füllt das Bild. Himmel, Wasser und Boden sind locker voneinander getrennt.",Eine flache Landschaft ohne Steg zeigt vor allem dunkle Bäume und eine schmale Wasserlinie. Himmel und Wasser sind kaum voneinander getrennt.,"A wide landscape with water, sky, and a jetty fills the image. Light clouds and colorful brushstrokes lead into depth.","A wide landscape with light and dark bands fills the image. Sky, water, and ground are loosely separated.",A flat landscape without a jetty shows mainly dark trees and a narrow waterline. Sky and water are barely separated.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
021,021.jpg,children_with_the_lamp_0237.jpg,expressionism/children_with_the_lamp_0237.jpg,expressionism,"Zwei Personen sitzen eng zusammen, eine hält einen hellen roten Fächer. Warme Farben sammeln sich um Hände und Gesichter.","Zwei Figuren sitzen eng zusammen, eine hält eine helle runde Form. Warme Farben sammeln sich um Hände und Gesichter.","Zwei Personen sitzen weit auseinander, und der helle Fächer liegt tief unten am Rand. Die Gesichter bleiben dunkel und die warmen Farben sind verstreut.","Two people sit close together, one holding a light red fan. Warm colors gather around hands and faces.","Two figures sit close together, one holding a light round form. Warm colors gather around hands and faces.","Two people sit far apart, and the light fan lies low at the edge. The faces remain dark and the warm colors are scattered.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
022,022.jpg,candidate_025_surrealism_colette_sitting.jpg,candidate_images/chosen/candidate_025_surrealism_colette_sitting.jpg,surrealism,"Eine sitzende Frau lehnt sich seitlich an eine Wand. Ihr dunkles Oberteil, der rosa Rock und der Stuhl sind klar getrennt.","Eine sitzende Figur lehnt sich seitlich an eine Wand. Dunkle, rosa und helle Flächen teilen den ruhigen Innenraum.","Eine sitzende Frau lehnt sich frontal in einem hellen Raum nach vorne. Rock und Stuhl liegen kaum getrennt, und die Wand wirkt dunkelgrün.","A seated woman leans sideways against a wall. Her dark top, pink skirt, and chair are clearly separated.","A seated figure leans sideways against a wall. Dark, pink, and light areas divide the calm interior.","A seated woman leans forward frontally in a light room. Skirt and chair are barely separated, and the wall appears dark green.",image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
023,023.jpg,candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,candidate_images/chosen/candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,expressionism,Ein dunkler Krug mit bunten Blumen steht vor braunem Hintergrund. Die Blüten leuchten oben und der Krug bleibt zentral.,Ein dunkles Gefäß mit hellen farbigen Formen steht vor braunem Hintergrund. Die oberen Formen leuchten und der Körper bleibt zentral.,"Ein helles Gefäß mit wenigen dunklen Blumen steht vor blauem Hintergrund. Die Blüten liegen niedrig, und der Krug ist eher am rechten Rand platziert.",A dark jug with colorful flowers stands before a brown background. The blossoms glow above and the jug remains central.,A dark vessel with light colorful forms stands before a brown background. The upper forms glow and the body remains central.,"A light vessel with a few dark flowers stands before a blue background. The blossoms sit low, and the jug is placed more toward the right edge.",image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
024,024.jpg,despair_0035.jpg,expressionism/despair_0035.jpg,expressionism,"Eine dunkle Figur blickt über Wasser und Berge in eine rote Abendlandschaft. Ufer, Himmel und Rückenfigur bilden deutliche Zonen.","Eine dunkle Figur steht vor einer weiten Landschaft mit Wasser und Bergen. Himmel, Ufer und Figur bilden deutliche Zonen.","Eine Rückenfigur steht vor einer hellen Tageslandschaft mit flachem Wasser. Der rote Himmel fehlt, und Berge und Ufer wirken nur schwach getrennt.","A dark figure looks over water and mountains into a red evening landscape. Shore, sky, and back figure form distinct zones.","A dark figure stands before a wide landscape with water and mountains. Sky, shore, and figure form distinct zones.","A back figure stands before a light daytime landscape with flat water. The red sky is missing, and mountains and shore are only weakly separated.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
025,025.jpg,female_head_0208.jpg,expressionism/female_head_0208.jpg,expressionism,"Ein blaugrünes Gesicht mit dunklem Haar blickt nach vorne. Kopf, Oberkörper und Hintergrund sind mit starken Konturen getrennt.","Eine blaugrüne kopfähnliche Figur blickt nach vorne. Kopf, Oberkörper und Hintergrund sind mit starken Konturen getrennt.",Ein kleines blaugrünes Gesicht erscheint seitlich vor hellem Hintergrund. Haar und Oberkörper sind kaum konturiert und füllen nur wenig vom Bild.,"A blue-green face with dark hair looks forward. Head, upper body, and background are separated by strong contours.","A blue-green head-like figure looks forward. Head, upper body, and background are separated by strong contours.",A small blue-green face appears sideways before a light background. Hair and upper body are barely contoured and fill only little of the image.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
026,026.jpg,fertility_ii_0197.jpg,expressionism/fertility_ii_0197.jpg,expressionism,"Eine Frau und ein Mann stehen unter Bäumen, die Frau hält eine rote Schale. Grüne Umgebung und helle Kleidung rahmen die Figuren.","Zwei Figuren stehen unter Bäumen, eine hält eine rote runde Form. Grüne Umgebung und helle Kleidung rahmen die Figuren.","Zwei Figuren stehen in offenem Licht ohne dichte Bäume, und die rote Schale liegt am Boden. Die Kleidung wirkt dunkel und die Umgebung kaum grün.",A woman and a man stand under trees; the woman holds a red bowl. Green surroundings and light clothing frame the figures.,"Two figures stand under trees, one holding a red round form. Green surroundings and light clothing frame the figures.","Two figures stand in open light without dense trees, and the red bowl lies on the ground. The clothing looks dark and the setting barely green.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
027,027.jpg,candidate_029_expressionism_leon_indenbaum_1915.jpg,candidate_images/chosen/candidate_029_expressionism_leon_indenbaum_1915.jpg,expressionism,"Ein langes schmales Gesicht steht frontal vor dunklem Hintergrund. Helle Stirn, Augenlinie und Hals bilden eine ruhige Mittelachse.","Eine helle kopfähnliche Form steht frontal vor dunklem Hintergrund. Stirn, Augenlinie und Hals bilden eine ruhige Mittelachse.",Ein breites rundes Gesicht steht leicht seitlich vor hellem Hintergrund. Die Mittelachse ist unterbrochen und der Hals ist kaum sichtbar.,"A long narrow face stands frontally before a dark background. Light forehead, eye line, and neck form a calm central axis.","A light head-like form stands frontally before a dark background. Forehead, eye line, and neck form a calm central axis.",A broad round face stands slightly sideways before a light background. The central axis is interrupted and the neck is barely visible.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
028,028.jpg,girl_combing_her_hair_0037.jpg,expressionism/girl_combing_her_hair_0037.jpg,expressionism,"Eine Person beugt sich in einem hellen Innenraum über einen Tisch. Orange Kleidung, Fensterlicht und kleine Gegenstände bestimmen die Szene.","Eine Figur beugt sich in einem hellen Raum über eine Fläche. Orange, helle und blaue Bereiche bestimmen die Szene.",Eine Person sitzt aufrecht in einem dunklen Innenraum neben einem geschlossenen Fenster. Der Tisch liegt weit im Hintergrund und orange Flächen fehlen fast.,"A person bends over a table in a bright interior. Orange clothing, window light, and small objects define the scene.","A figure bends over a surface in a bright room. Orange, light, and blue areas define the scene.",A person sits upright in a dark interior beside a closed window. The table lies far in the background and orange areas are almost absent.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
029,029.jpg,gretchen_0114.jpg,expressionism/gretchen_0114.jpg,expressionism,"Eine schmale stehende Frau ist in dunklen Linien gezeichnet. Der Körper ist lang, nach unten schwer und von leerem Grund umgeben.",Eine schmale stehende Figur ist in dunklen Linien gezeichnet. Der Körper ist lang und von leerem Grund umgeben.,Eine breite stehende Figur ist mit hellen weichen Linien gezeichnet. Der Körper wirkt kurz und füllt den Grund fast vollständig.,"A narrow standing woman is drawn in dark lines. The body is long, heavy toward the bottom, and surrounded by empty ground.",A narrow standing figure is drawn in dark lines. The body is long and surrounded by empty ground.,A broad standing figure is drawn with light soft lines. The body looks short and fills the ground almost completely.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
030,030.jpg,man_and_woman_0101.jpg,expressionism/man_and_woman_0101.jpg,expressionism,Zwei nackte sitzende Figuren beugen sich zueinander in dunklem Raum. Warme Hautfarben heben sich vom dunklen Hintergrund ab.,Zwei sitzende Figuren beugen sich zueinander in dunklem Raum. Helle Körperformen heben sich vom dunklen Hintergrund ab.,Zwei helle Figuren stehen aufrecht nebeneinander vor offenem hellem Grund. Die Körper berühren sich kaum und der dunkle Raum fehlt weitgehend.,Two nude seated figures bend toward one another in a dark room. Warm skin colors stand out from the dark background.,Two seated figures bend toward one another in a dark room. Light body forms stand out from the dark background.,Two light figures stand upright side by side before an open light ground. The bodies barely touch and the dark room is mostly absent.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
031,031.jpg,maternit_233_after_picasso_0194.jpg,expressionism/maternit_233_after_picasso_0194.jpg,expressionism,Eine kleine sitzende Figur mit blauem Umhang sitzt vor einem Bett. Helle Körperform und dunkler Umhang liegen zentral im Bild.,Eine kleine sitzende Figur mit dunklem Umhang sitzt in einem einfachen Raum. Helle und blaue Formen liegen zentral im Bild.,Eine große liegende Figur mit rotem Umhang füllt einen hellen Raum. Bett und Körper liegen weit auseinander statt zentral gebündelt.,A small seated figure with a blue cloak sits before a bed. Light body form and dark cloak lie centrally in the image.,A small seated figure with a dark cloak sits in a simple room. Light and blue forms lie centrally in the image.,A large reclining figure with a red cloak fills a light room. Bed and body lie far apart instead of being centrally grouped.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
032,032.jpg,miguel_de_cervantes_0146.jpg,expressionism/miguel_de_cervantes_0146.jpg,expressionism,"Eine dunkle Figur mit Hut geht auf einem Weg vor Windmühle und weitem Himmel. Weg, Horizont und Figur sind klar getrennt.","Eine dunkle Figur steht auf einem Weg vor weitem Himmel. Weg, Horizont und Figur sind klar getrennt.",Eine helle Figur steht frontal auf einer ebenen Fläche ohne klaren Weg. Windmühle und Himmel liegen tief im Hintergrund und sind kaum getrennt.,"A dark figure with a hat walks on a path before a windmill and wide sky. Path, horizon, and figure are clearly separated.","A dark figure stands on a path before a wide sky. Path, horizon, and figure are clearly separated.",A light figure stands frontally on a flat area without a clear path. Windmill and sky lie low in the background and are barely separated.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
033,033.jpg,misery_0089.jpg,expressionism/misery_0089.jpg,expressionism,"Ein dunkler Innenraum zeigt ein Bett, ein Fenster und mehrere Personen. Helle Flächen im Fenster und Bett lenken den Blick.","Ein dunkler Innenraum zeigt helle rechteckige und liegende Formen. Fenster, Bett und Figuren sind nur teilweise klar getrennt.","Ein heller Innenraum zeigt ein großes leeres Fenster und nur eine einzelne Figur. Bett und Personen liegen nicht gebündelt, sondern weit auseinander.","A dark interior shows a bed, a window, and several people. Light areas in the window and bed guide the gaze.","A dark interior shows light rectangular and reclining forms. Window, bed, and figures are only partly separated.",A bright interior shows a large empty window and only one figure. Bed and people are not grouped but spread far apart.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
