stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
011,011.jpg,candidate_018_expressionism_primitive_heads_1924.jpg,candidate_images/chosen/candidate_018_expressionism_primitive_heads_1924.jpg,expressionism,"Zwei dunkle kopfähnliche Formen stehen nebeneinander vor hellem Hintergrund. Links wirkt die Form frontaler, rechts ist ein Kopf im Profil zu sehen.","Zwei dunkle Kopf- oder Maskenformen stehen dicht nebeneinander vor hellem Hintergrund. Beide wirken leicht seitlich gedreht, statt klar frontal und Profil zu sein.",Drei helle Gesichter stehen weit auseinander vor blauem Grund.,"Two dark head-like forms stand side by side before a light background. The left form appears more frontal, while the right head is seen in profile.",Two dark head or mask forms stand close together before a light background. Both appear slightly turned sideways rather than clearly one frontal and one in profile.,Three pale faces stand far apart against a blue ground.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
012,012.jpg,no_5_no_22_0055.jpg,color-field-painting/no_5_no_22_0055.jpg,color-field-painting,Ein breites rotes horizontales Band teilt eine gelbe Fläche. Oberhalb und unterhalb des Bandes liegen große ruhige gelb-orange Felder.,"Ein rotes waagrechtes Band durchzieht eine warme gelbe Fläche. Das Band wirkt etwas schmaler und höher gesetzt, während unten mehr gelber Raum bleibt.",Ein schwarzer Kreis steht über einem blauen Dreieck auf weißem Grund.,A broad red horizontal band divides a yellow field. Large quiet yellow-orange areas lie above and below the band.,"A red horizontal band runs through a warm yellow field. The band appears slightly narrower and placed higher, leaving more yellow space below.",A black circle stands above a blue triangle on a white ground.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
013,013.jpg,the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting/the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting,Eine helle fast leere Fläche wird rechts von einer schmalen dunklen senkrechten Kante geteilt. Nahe dieser Kante sitzen feine schwarze Spuren.,Ein heller fast leerer Bildraum wird von einer dünnen dunklen senkrechten Zone nahe dem rechten Rand unterbrochen. Die feinen schwarzen Spuren sitzen etwas weiter links davon.,Ein breites rotes Band liegt waagrecht in der Mitte auf gelbem Grund.,A pale almost empty field is divided on the right by a narrow dark vertical edge. Fine black traces sit near this edge.,A pale almost empty pictorial space is interrupted by a thin dark vertical zone near the right edge. The fine black traces sit slightly farther to its left.,A broad red band lies horizontally in the center on a yellow ground.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
014,014.jpg,untitled_0159.jpg,color-field-painting/untitled_0159.jpg,color-field-painting,Eine große gelbe Fläche wird oben links von roten und schwarzen gezackten Formen eingeschnitten. Der stärkste Kontrast sitzt entlang der oberen linken Kante.,"Gelb dominiert fast das ganze Bild, während rote und schwarze Zacken vom oberen Rand hineinragen. Der stärkste Kontrast wirkt eher oben mittig als klar oben links.",Weiche blaue Kreise liegen ruhig auf hellem Grund und verteilen sich gleichmäßig.,A large yellow field is cut into at the upper left by red and black jagged forms. The strongest contrast sits along the upper left edge.,"Yellow dominates almost the whole image, while red and black spikes enter from the upper edge. The strongest contrast appears more near the upper middle than clearly at the upper left.",Soft blue circles lie calmly on a pale ground and are evenly distributed.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
015,015.jpg,untitled_0170.jpg,color-field-painting/untitled_0170.jpg,color-field-painting,"Blaue und weiße spitze Flächen kreuzen sich diagonal. Die Komposition wirkt kantig, mit starken Schrägen und viel hellem Zwischenraum.",Blaue und weiße spitze Flächen kreuzen sich auf hellem Grund. Die wichtigsten Schrägen wirken etwas flacher und laufen stärker von links unten nach rechts oben.,Runde rote und orange Formen liegen auf dunklem Grund.,"Blue and white pointed areas cross diagonally. The composition feels angular, with strong slants and much pale space between them.",Blue and white pointed areas cross on a pale ground. The main slants appear slightly flatter and run more strongly from lower left to upper right.,Round red and orange forms lie on a dark ground.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
016,016.jpg,candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,candidate_images/chosen/candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,surrealism,Mehrere bunte spiralförmige Schnecken- oder Muschelformen liegen auf dunkelgrünem Grund. Eine große blaue geschwungene Form verbindet die runden Elemente.,Mehrere bunte spiralige Formen liegen auf dunklem Grund. Die große blaue geschwungene Form scheint vor allem am unteren Rand entlangzulaufen statt die runden Elemente zentral zu verbinden.,Zwei kantige schwarze Rechtecke liegen auf weißem Grund.,Several colorful spiral shell-like forms lie on a dark green ground. A large blue curved form connects the round elements.,Several colorful spiral forms lie on a dark ground. The large blue curved form seems to run mainly along the lower edge rather than centrally connecting the round elements.,Two angular black rectangles lie on a white ground.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
017,017.jpg,untitled_mural_for_end_wall_0222.jpg,color-field-painting/untitled_mural_for_end_wall_0222.jpg,color-field-painting,"Ein dunkles braunes Quadrat liegt in einem leuchtend orange-roten Rahmen. Die Mitte wirkt ruhig und flächig, der Rand deutlich heller.",Eine große dunkle rechteckige Fläche sitzt in einem leuchtenden orange-roten Rahmen. Die Mitte wirkt eher hochrechteckig als quadratisch und etwas nach oben verschoben.,Ein heller blauer Kreis steht frei auf weißem Grund.,"A dark brown square lies inside a glowing orange-red frame. The center feels calm and flat, while the border is clearly brighter.",A large dark rectangular field sits inside a glowing orange-red frame. The center appears more vertical than square and slightly shifted upward.,A pale blue circle stands alone on a white ground.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
018,018.jpg,absinth_drinker_0102.jpg,expressionism/absinth_drinker_0102.jpg,expressionism,Eine Person sitzt an einem Tisch und blickt auf eine kleine helle Kerzenflamme. Das Gesicht und die Hände liegen im dunklen braunen Innenraum nahe am Licht.,"Eine dunkle sitzende Figur beugt sich zu einer hellen Flamme auf einem Tisch. Das Gesicht wirkt etwas weiter links vom Licht, während die Hände näher an der Tischkante liegen.",Eine stehende Figur in hellem Kleid befindet sich draußen vor grüner Landschaft.,A person sits at a table and looks toward a small pale candle flame. Face and hands lie close to the light in a dark brown interior.,"A dark seated figure bends toward a pale flame on a table. The face appears slightly farther left from the light, while the hands lie closer to the table edge.",A standing figure in a pale dress appears outdoors before a green landscape.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
019,019.jpg,ascet_0276.jpg,expressionism/ascet_0276.jpg,expressionism,"Eine schmale sitzende Figur in Blau steht vor blauem Hintergrund an einem Tisch. Heller Kopf, Teller und Hände bilden die zentralen Akzente.","Eine blau gekleidete Figur sitzt frontal an einem Tisch vor kühlem blauem Grund. Der helle Teller wirkt etwas weiter rechts, und die Hände liegen weniger zentral.",Eine liegende Figur in roten Farben füllt einen dunklen Innenraum.,"A narrow seated figure in blue appears before a blue background at a table. Pale head, plate, and hands form the central accents.","A blue-clothed figure sits frontally at a table before a cool blue ground. The pale plate appears slightly farther to the right, and the hands lie less centrally.",A reclining figure in red colors fills a dark interior.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
020,020.jpg,canal_du_midi_0128.jpg,expressionism/canal_du_midi_0128.jpg,expressionism,Eine helle Winterlandschaft mit violett-blauen Schatten führt zu einem Fluss oder Hafen. Rechts verläuft ein dunkler Uferstreifen mit kleinen Figuren und Booten.,Eine helle Winterlandschaft mit violetten Schatten führt zu Wasser und Horizont. Der dunkle Uferstreifen mit kleinen Formen wirkt eher links als rechts entlanggeführt.,Ein warmer Innenraum mit einer einzelnen Kerze und sitzender Figur füllt das Bild.,"A pale winter landscape with violet-blue shadows leads toward a river or harbor. On the right, a dark bank with small figures and boats runs into the distance.",A pale winter landscape with violet shadows leads toward water and horizon. The dark bank with small forms seems to run more along the left than the right.,A warm interior with a single candle and seated figure fills the image.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
021,021.jpg,children_with_the_lamp_0237.jpg,expressionism/children_with_the_lamp_0237.jpg,expressionism,Zwei Kinder oder Figuren sitzen eng beieinander im warmen Dunkel und halten eine leuchtend rote runde Laterne. Die hellsten Stellen liegen bei Gesicht und Laterne.,Eine kleine Figurengruppe sitzt im warmen Dunkel um ein rotes rundes Licht. Das Licht wirkt etwas tiefer und mehr seitlich gehalten als der Mittelpunkt der Gruppe.,Eine einzelne Figur steht allein in einer hellen Landschaft mit blauem Kleid.,Two children or figures sit close together in warm darkness and hold a glowing red round lantern. The brightest areas are the faces and lantern.,A small group of figures sits in warm darkness around a red round light. The light appears slightly lower and held more to the side than the center of the group.,A single figure stands alone in a bright landscape wearing blue.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
022,022.jpg,candidate_025_surrealism_colette_sitting.jpg,candidate_images/chosen/candidate_025_surrealism_colette_sitting.jpg,surrealism,"Eine sitzende Figur mit blauem Oberteil und rosa Rock lehnt in einem Stuhl. Der Kopf liegt links oben, die angewinkelten Beine füllen die rechte untere Hälfte.","Eine sitzende Figur mit blauem Oberteil und rosa Fläche lehnt in einem Stuhl. Der Kopf wirkt eher rechts oben, und die angewinkelten Beine füllen mehr die linke untere Seite.",Eine stehende Figur in langem weißem Gewand steht frontal vor einer Landschaft.,"A seated figure with a blue top and pink skirt leans in a chair. The head sits at the upper left, and bent legs fill the lower right half.","A seated figure with a blue top and pink area leans in a chair. The head appears more toward the upper right, and the bent legs fill more of the lower left side.",A standing figure in a long white garment faces forward in a landscape.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
023,023.jpg,candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,candidate_images/chosen/candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,expressionism,"Ein dunkles rotes Gefäß steht unten mittig, daraus brechen gelbe und violette Blütenformen nach oben und rechts aus. Der Hintergrund ist braun und bewegt.",Ein Strauß mit gelben und violetten Blüten wächst aus einer dunklen Vase vor braunem Grund. Die hellen Blüten breiten sich stärker nach links als nach rechts aus.,Eine einzelne pinke Blüte steht in einer blauen Glasvase auf ruhigem braunem Grund.,"A dark red vessel stands at the lower center, with yellow and violet flower forms bursting upward and to the right. The background is brown and active.",A bouquet with yellow and violet blossoms grows from a dark vase before a brown ground. The bright blossoms spread more toward the left than toward the right.,A single pink blossom stands in a blue glass vase on a quiet brown ground.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
024,024.jpg,despair_0035.jpg,expressionism/despair_0035.jpg,expressionism,Eine dunkle gebeugte Figur steht rechts unten vor einer Landschaft mit blauem Tal und rotem Himmel. Die Schrägen der Berge führen zum hellen Horizont.,"Eine dunkle gebeugte Gestalt steht vor einer Landschaft mit Tal und rötlichem Himmel. Die Figur wirkt näher an der unteren Mitte, und die Bergschrägen steigen stärker nach rechts.",Eine sitzende Figur in einem Stuhl füllt einen Innenraum mit rosa Rock und blauem Oberteil.,A dark bent figure stands at the lower right before a landscape with a blue valley and red sky. The mountain diagonals lead toward the bright horizon.,"A dark bent figure stands before a landscape with a valley and reddish sky. The figure appears closer to the lower center, and the mountain diagonals rise more strongly to the right.",A seated figure in a chair fills an interior with a pink skirt and blue top.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
025,025.jpg,female_head_0208.jpg,expressionism/female_head_0208.jpg,expressionism,"Ein blau-grünes Gesicht mit dunklem Haar steht vor grünlichem Hintergrund. Der Kopf ist leicht geneigt, und ein roter Akzent sitzt am Hals.","Ein kühles blau-grünes Porträt füllt die Mitte vor grünlichem Hintergrund. Der Kopf wirkt fast gerade, und der rote Akzent sitzt eher an der Schulter als direkt am Hals.",Drei orangefarbene Maskengesichter stehen vor hellblauem Grund.,"A blue-green face with dark hair appears before a greenish background. The head is slightly tilted, and a red accent sits at the neck.","A cool blue-green portrait fills the center before a greenish background. The head appears almost straight, and the red accent sits more at the shoulder than directly at the neck.",Three orange mask-like faces stand before a light blue ground.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
026,026.jpg,fertility_ii_0197.jpg,expressionism/fertility_ii_0197.jpg,expressionism,"Drei Figuren stehen in einem grünen Garten mit Baum in der Mitte. Links trägt eine Figur einen roten runden Korb, rechts steht eine blaue Figur mit hellem Hut.","Drei Figuren stehen in einem grünen Garten mit Baum. Die rote runde Form wirkt eher rechts der Mitte, während die blaue Figur mehr links im Bild steht.",Eine einzelne sitzende Figur steht in einem Stuhl vor leerem Innenraum.,"Three figures stand in a green garden with a tree in the center. On the left, one figure carries a red round basket; on the right, a blue figure wears a pale hat.","Three figures stand in a green garden with a tree. The red round form appears more to the right of center, while the blue figure stands more to the left in the image.",A single seated figure appears in a chair before an empty interior.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
027,027.jpg,candidate_029_expressionism_leon_indenbaum_1915.jpg,candidate_images/chosen/candidate_029_expressionism_leon_indenbaum_1915.jpg,expressionism,"Ein längliches helles Gesicht steht frontal in der Mitte vor dunklem Hintergrund. Haare, Augen und schmale Gesichtszüge sind weich und reduziert gezeichnet.","Ein längliches helles Gesicht steht frontal vor dunklem Grund. Die Augen wirken etwas höher und weiter auseinander, und die Kopfform erscheint breiter.",Zwei dunkle Maskenköpfe stehen nebeneinander auf hellem Grund.,"An elongated pale face faces forward in the center against a dark background. Hair, eyes, and narrow facial features are softly and sparsely drawn.","An elongated pale face faces forward against a dark ground. The eyes appear slightly higher and farther apart, and the head shape seems broader.",Two dark mask heads stand side by side on a light ground.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
028,028.jpg,girl_combing_her_hair_0037.jpg,expressionism/girl_combing_her_hair_0037.jpg,expressionism,Eine orange-rote sitzende Figur beugt sich nach links unten in einem hellen Innenraum. Helle Wandflächen und eine bläuliche Form rechts rahmen die Figur.,"Eine orange-rote sitzende Figur beugt sich in einem hellen Innenraum. Der Körper neigt sich eher nach rechts unten, und die bläuliche Form liegt näher an der Mitte.",Eine grüne Landschaft mit drei stehenden Figuren und Baum füllt das Bild.,An orange-red seated figure bends down toward the lower left in a pale interior. Pale wall areas and a bluish form on the right frame the figure.,"An orange-red seated figure bends inside a pale interior. The body leans more toward the lower right, and the bluish form lies closer to the center.",A green landscape with three standing figures and a tree fills the image.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
029,029.jpg,gretchen_0114.jpg,expressionism/gretchen_0114.jpg,expressionism,Eine schmale stehende Figur in grauer Kleidung hält ein Kind oder Bündel vor dem Körper. Viel weißer Hintergrund umgibt die dunkle Zeichnung.,Eine schmale stehende Figur hält ein Kind oder Bündel vor hellem Papiergrund. Die Gruppe wirkt etwas größer und weiter nach rechts gesetzt.,Eine farbige sitzende Person in blauem Oberteil und rosa Rock füllt einen Innenraum.,A narrow standing figure in gray clothing holds a child or bundle in front of the body. Much white background surrounds the dark drawing.,A narrow standing figure holds a child or bundle before a pale paper ground. The group appears slightly larger and placed farther to the right.,A colored seated person in a blue top and pink skirt fills an interior.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
