stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
011,011.jpg,candidate_018_expressionism_primitive_heads_1924.jpg,candidate_images/chosen/candidate_018_expressionism_primitive_heads_1924.jpg,expressionism,"Zwei dunkle kopfähnliche Formen stehen vor hellem Hintergrund. Eine Form wirkt frontaler, die andere zeigt einen Kopf im Profil.",Zwei dunkle Kopf- oder Maskenformen stehen dicht beieinander vor hellem Hintergrund. Beide Köpfe wirken kantiger und geschlossener.,Zwei helle braune Maskenköpfe stehen vor bläulichem Grund. Beide Köpfe wirken frontal und ähnlich groß.,"Two dark head-like forms stand against a light background. One form appears more frontal, while the other head is seen in profile.",Two dark head or mask forms stand close together before a light background. Both heads look more angular and closed.,Two pale brown mask heads stand before a bluish ground. Both heads look frontal and similar in size.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
012,012.jpg,no_5_no_22_0055.jpg,color-field-painting/no_5_no_22_0055.jpg,color-field-painting,Ein breites rotes Band teilt eine gelbe Fläche. Große ruhige gelb-orange Felder umgeben das Band.,Ein rotes waagrechtes Band durchzieht eine warme gelbe Fläche. Das Band wirkt schmal und sauber begrenzt.,Ein schmales rotes senkrechtes Band teilt eine gelbe Fläche. Die Farbfelder wirken streng und flach.,A broad red band divides a yellow field. Large quiet yellow-orange areas surround the band.,A red band runs through a warm yellow field. The band looks narrow and cleanly bounded.,A narrow red stripe divides a yellow field. The color fields look strict and flat.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
013,013.jpg,the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting/the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting,Eine helle fast leere Fläche wird von einer schmalen dunklen Kante geteilt. Feine schwarze Flecken sitzen nahe an dieser Kante.,Ein heller fast leerer Bildraum wird von einer dünnen dunklen senkrechten Zone unterbrochen. Feine schwarze Spuren begleiten die Kante.,Eine helle fast leere Fläche wird von einer breiten dunklen Kante geteilt. Feine schwarze Flecken wirken weit verstreut.,A pale almost empty field is divided by a narrow dark boundary. Fine black marks sit close to this boundary.,A pale almost empty pictorial space is interrupted by a thin dark zone. Fine black traces accompany the boundary.,A pale almost empty field is cut by a broad dark boundary. Fine black marks look widely scattered.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
014,014.jpg,untitled_0159.jpg,color-field-painting/untitled_0159.jpg,color-field-painting,Eine große gelbe Fläche wird von roten und schwarzen gezackten Formen eingeschnitten. Der stärkste Kontrast entsteht entlang der gezackten Kante.,Gelb dominiert fast das ganze Bild. Rote und schwarze Zacken bilden einen harten Kontrast in der gelben Fläche.,Eine große gelbe Fläche wird von roten und schwarzen gezackten Formen eingeschnitten. Der Kontrast wirkt schwer und kantig.,A large yellow field is cut into by red and black jagged forms. The strongest contrast appears along the jagged boundary.,Yellow dominates almost the whole image. Red and black spikes create a hard contrast in the yellow field.,A large yellow field is cut into by red and black jagged forms. The contrast looks heavy and angular.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
015,015.jpg,untitled_0170.jpg,color-field-painting/untitled_0170.jpg,color-field-painting,"Blaue und weiße spitze Formen stehen in kräftiger Schrägstellung. Die Komposition wirkt kantig, mit starken Winkeln und viel hellem Zwischenraum.",Blaue und weiße spitze Flächen kreuzen sich auf hellem Grund. Die Schrägen wirken flach und ruhig.,Blaue und weiße kantige Formen stehen fast wie harte Platten auf hellem Grund. Eine breite blaue Fläche bestimmt den Eindruck.,"Blue and white pointed shapes stand in a dynamic angular arrangement. The composition feels sharp, with strong angles and much pale space among them.",Blue and white pointed areas cross on a pale ground. The slants look flat and calm.,Blue and white angular forms stand almost vertically on a pale ground. A broad blue area defines the impression.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
016,016.jpg,candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,candidate_images/chosen/candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,surrealism,Mehrere bunte spiralförmige Schnecken- oder Muschelformen liegen auf dunkelgrünem Grund. Eine große blaue geschwungene Form verbindet die runden Elemente.,Mehrere bunte spiralige Formen liegen auf dunklem Grund. Eine große blaue Kurve verbindet einzelne runde Elemente.,Mehrere bunte Spiralen liegen auf dunkelblauem Grund. Eine kleine blaue Kurve lässt die runden Elemente getrennt wirken.,Several colorful spiral shell-like forms lie on a dark green ground. A large blue curved form connects the round elements.,Several colorful spiral forms lie on a dark ground. A large blue curve connects individual round elements.,Several colorful spirals lie on a dark blue ground. A small blue curve makes the round elements feel separated.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20,False
017,017.jpg,untitled_mural_for_end_wall_0222.jpg,color-field-painting/untitled_mural_for_end_wall_0222.jpg,color-field-painting,"Ein dunkles braunes Quadrat liegt in einem leuchtend orange-roten Rahmen. Die dunkle Fläche wirkt ruhig und flächig, der Rahmen deutlich heller.",Eine große dunkle rechteckige Fläche sitzt in einem leuchtenden orange-roten Rahmen. Die Mitte wirkt hochrechteckig und ruhig.,Ein dunkles schmales Rechteck liegt in einem gelb-orangefarbenen Rahmen. Der Rahmen wirkt hart und ungleich dunkel.,"A dark brown square lies inside a glowing orange-red frame. The dark field feels calm and flat, while the frame is clearly brighter.",A large dark rectangular field sits inside a glowing orange-red frame. The dark field looks calm and smooth.,A dark narrow rectangle lies inside a yellow-orange frame. The frame looks hard and unevenly dark.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
018,018.jpg,absinth_drinker_0102.jpg,expressionism/absinth_drinker_0102.jpg,expressionism,Eine Person sitzt an einem Tisch und blickt auf ein kleines helles Glas. Das Gesicht und die Hände liegen im dunklen braunen Innenraum nahe am Licht.,Eine dunkle sitzende Figur beugt sich zu einer hellen Flamme auf einem Tisch. Gesicht und Hände wirken nah am Licht.,Eine sitzende Figur beugt sich an einem Tisch zu einem breiten hellen Lichtfleck. Die Flamme wirkt groß und flächig.,A person sits at a table and looks toward a small glass. Face and hands lie close to the light in a dark brown interior.,A dark seated figure bends toward a pale flame on a table. Face and hands look close to the light.,A seated figure bends at a table toward a broad pale patch of light. The flame looks large and flat.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20,False
019,019.jpg,ascet_0276.jpg,expressionism/ascet_0276.jpg,expressionism,"Eine schmale sitzende Figur in Blau steht vor blauem Hintergrund an einem Tisch. Heller Kopf, Teller und Hände bilden die zentralen Akzente.",Eine blau gekleidete Figur sitzt frontal an einem Tisch vor kühlem blauem Grund. Teller und Hände wirken lockerer verteilt.,"Eine schmale Figur in grünlichem Blau sitzt an einem Tisch vor grauem Hintergrund. Teller, Kopf und Hände wirken wenig gebündelt.","A narrow seated figure in blue appears before a blue background at a table. Pale head, plate, and hands form the central accents.",A blue-clothed figure sits frontally at a table before a cool blue ground. Plate and hands look more loosely arranged.,"A narrow figure in greenish blue sits at a table before a gray background. Plate, head, and hands look loosely grouped.",image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20,False
020,020.jpg,canal_du_midi_0128.jpg,expressionism/canal_du_midi_0128.jpg,expressionism,Eine helle Winterlandschaft mit violett-blauen Schatten führt zu einem Fluss oder Hafen. Ein dunkler Uferstreifen mit kleinen Figuren und Booten zieht in die Ferne.,Eine helle Winterlandschaft mit violetten Schatten führt zu Wasser und Horizont. Der dunkle Uferstreifen wirkt breiter und schwerer.,Eine helle Winterlandschaft führt zu einem Fluss. Kleine Boote und Figuren sammeln sich an einem dunklen Uferstreifen.,A pale winter landscape with violet-blue shadows leads toward a river or harbor. A dark bank with small figures and boats runs into the distance.,A pale winter landscape with violet shadows leads toward water and horizon. The dark bank looks broader and heavier.,A pale winter landscape leads toward a river. Small boats and figures gather along a dark bank.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
021,021.jpg,children_with_the_lamp_0237.jpg,expressionism/children_with_the_lamp_0237.jpg,expressionism,Zwei Kinder sitzen eng beieinander im warmen Dunkel und halten eine leuchtend rote runde Laterne. Die hellsten Stellen liegen bei Gesicht und Laterne.,Eine kleine Figurengruppe sitzt im warmen Dunkel um ein rotes rundes Licht. Das Licht wirkt weicher und etwas abgesetzt in der Gruppe.,Drei Figuren sitzen weiter auseinander in warmem Dunkel um ein orangefarbenes Licht. Nur ein Gesicht ist klar hell.,Two children sit close together in warm darkness and hold a glowing red round lantern. The brightest areas are the faces and lantern.,A small group of figures sits in warm darkness around a red round light. The light feels softer within the group.,Three figures sit farther apart in warm darkness around an orange light. Only one face is clearly bright.,image_type=expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20,False
022,022.jpg,candidate_025_surrealism_colette_sitting.jpg,candidate_images/chosen/candidate_025_surrealism_colette_sitting.jpg,surrealism,"Eine sitzende Figur mit blauem Oberteil und rosa Rock lehnt in einem Stuhl. Der Kopf ist geneigt, die angewinkelten Beine füllen die Figur mit einer kompakten Körperhaltung.",Eine sitzende Figur mit blauem Oberteil und rosa Fläche lehnt in einem Stuhl. Kopf und Beine bilden eine gespanntere Haltung.,Eine sitzende Figur mit grünlichem Oberteil und roter Rockfläche lehnt aufrecht im Stuhl. Die Figur wirkt steifer und farblich kühler.,"A seated figure with a blue shirt and pink skirt leans in a chair. The head is bent, and the folded legs give the figure a compact body posture.",A seated figure with a blue shirt and pink area leans in a chair. Head and legs create a tenser posture.,A seated figure with a greenish shirt and red skirt area leans rigidly in the chair. The figure looks stiffer and cooler in color.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
023,023.jpg,candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,candidate_images/chosen/candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,expressionism,"Ein dunkles rotes Gefäß trägt gelbe und violette Blütenformen. Die Blüten brechen lebhaft aus dem Gefäß aus, der Hintergrund ist braun und bewegt.",Ein Strauß mit gelben und violetten Blüten wächst aus einer dunklen Vase vor braunem Grund. Die Blüten wirken lockerer.,Ein dunkles Gefäß trägt wenige gelbe und rosa Blüten vor ruhigem braunem Grund. Der Strauß wirkt schmal und sparsam.,"A dark red vessel carries yellow and violet flower forms. The blossoms burst vividly out of the vessel, and the background is brown and active.",A bouquet with yellow and violet blossoms grows from a dark vase before a brown ground. The blossoms look looser.,A dark vessel carries a few yellow and pink blossoms before a calm brown ground. The bouquet looks narrow and sparse.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
