filename,score,row_idx,group,title,artist,url_slug,genres,styles,tags,width,height
candidate_013_realism_sunset_with_trees.jpg,9.233,22660,realism,Sunset with trees,Arkhip Kuindzhi,sunset-with-trees,landscape,Impressionism,sunrise-and-sunset; forests-and-trees; Sky; silhouette; Tree,750,466
candidate_014_surrealism_head_of_a_man_1953.jpg,9.2,51443,surrealism,Head of a man,Ernst Fuchs,head-of-a-man-1953,portrait,Fantastic Realism,male-portraits; characters-and-emotions; Sketch; Face; Head; Eye,432,600
candidate_015_surrealism_the_eure_in_the_twilight_sun_1901.jpg,9.2,51686,surrealism,The Eure in the Twilight Sun,Francis Picabia,the-eure-in-the-twilight-sun-1901,landscape,Impressionism,forests-and-trees; Tree; Natural landscape; Natural environment; Woody plant; Woodland,740,600
candidate_016_symbolism_willow_tree_by_the_lake_1890.jpg,9.2,56268,symbolism,Willow tree by the lake,Ferdinand Hodler,willow-tree-by-the-lake-1890,landscape,Post-Impressionism,lakes-and-ponds; Alps; Tree; Woody plant; Plant; Botany,424,600
candidate_017_symbolism_egg_and_cauliflower_1926.jpg,9.2,56575,symbolism,Egg and Cauliflower,George Washington Lambert,egg-and-cauliflower-1926,still life,Post-Impressionism,Still life photography; Hydrangeaceae; Flower; hydrangea; Cut flowers; Plant,750,589
candidate_018_romanticism_oak_tree_in_the_snow_1828.jpg,9.2,38747,romanticism,Oak Tree in the Snow,Caspar David Friedrich,oak-tree-in-the-snow-1828,landscape,Romanticism,Tree; Woody plant; Branch; Plant; Botany; Sky,462,600
candidate_019_romanticism_wc_abri_enneig_abri_sous_la_neige_circa_1827_1827_alte_nationalgalerie.jpg,9.2,38779,romanticism,Trees in the snow,Caspar David Friedrich,wc-abri-enneig-abri-sous-la-neige-circa-1827-1827-alte-nationalgalerie-31-25-cm-12-2-9-8-in-oil,landscape,Romanticism,Tree; Branch; Snow; Woody plant; Plant; winter,485,600
candidate_020_expressionism_sunflower_1940.jpg,9.111,6226,expressionism,Sunflower,Arthur Segal,sunflower-1940,flower painting,Realism,Sunflower; Flower; Petal; Plant; Flowering plant,459,570
candidate_021_realism_the_steamship_iroquois_1891.jpg,9.025,22509,realism,The Steamship Iroquois,Antonio Jacobsen,the-steamship-iroquois-1891,marina,Realism,Vehicle; Boat; Watercraft; Ship; Sailing ship,750,452
candidate_022_realism_steamship_oscar_ii_entering_new_york_harbor.jpg,9.024,22488,realism,Steamship OSCAR II Entering New York Harbor,Antonio Jacobsen,steamship-oscar-ii-entering-new-york-harbor,marina,Realism,Vehicle; Boat; Watercraft; Ship; Steamboat,750,453
candidate_023_romanticism_a_moored_steamer_at_a_busy_quay_1890.jpg,9.0,38154,romanticism,A Moored Steamer at a Busy Quay,Andreas Achenbach,a-moored-steamer-at-a-busy-quay-1890,marina,Romanticism,Vehicle; Boat; Watercraft; Ship of the line; Sailing ship; First-rate,750,568
candidate_024_romanticism_the_battle_of_grand_port_1859.jpg,9.0,38366,romanticism,The Battle of Grand Port,Anton Melbye,the-battle-of-grand-port-1859,marina,Romanticism,Vehicle; Ship; Watercraft; Boat; Warship,550,322
candidate_025_surrealism_goals_in_a_different_world.jpg,8.9,51771,surrealism,825 The Trees Are the Flowers of the Good,Friedensreich Hundertwasser,goals-in-a-different-world,figurative,Transautomatism,houses-and-buildings; forests-and-trees,627,454
candidate_026_realism_a_bouquet_of_flowers_on_the_balcony_1924.jpg,8.841,22825,realism,A Bouquet of Flowers on the Balcony,Boris Kustodiev,a-bouquet-of-flowers-on-the-balcony-1924,flower painting,Realism,flowers-and-plants; Flower; Botany; Plant; spring,502,600
candidate_027_realism_men_s_head_in_a_straw_hat.jpg,8.831,22614,realism,Men's head in a straw hat,Arkhip Kuindzhi,men-s-head-in-a-straw-hat,portrait,Realism,male-portraits; Sketch; Nose; Head; Figure drawing; Hat,459,600
candidate_028_expressionism_freesia_in_a_red_vase_1986.jpg,8.831,6612,expressionism,Freesia in a Red Vase,Maria Bozoky,freesia-in-a-red-vase-1986,still life; flower painting,Expressionism,flowers-and-plants; Flower; Plant,412,600
candidate_029_surrealism_la_thebaide_1978.jpg,8.8,51559,surrealism,La Thebaide,Felix Labisse,la-thebaide-1978,symbolic painting,Surrealism,Face; Head; Human,750,597
candidate_030_surrealism_meliboeus.jpg,8.8,51637,surrealism,Meliboeus,Francis Picabia,meliboeus,portrait,Surrealism,female-portraits; Head; Chin; Cheek; Human,395,600
candidate_031_surrealism_riverbank.jpg,8.8,51661,surrealism,Riverbank,Francis Picabia,riverbank,landscape,Expressionism,rivers-and-waterfalls; forests-and-trees; Tree; Plant,421,600
candidate_032_symbolism_at_the_foot_of_the_petit_saleve_1890.jpg,8.8,56067,symbolism,At the foot of the Petit Saleve,Ferdinand Hodler,at-the-foot-of-the-petit-saleve-1890,landscape,Realism,forests-and-trees; mountains; Bank; Tree,431,600
candidate_033_symbolism_forest_brook_at_leissingen_1904.jpg,8.8,56093,symbolism,Forest Brook at Leissingen,Ferdinand Hodler,forest-brook-at-leissingen-1904,landscape,Art Nouveau (Modern),forests-and-trees; Leaf; Rock; Tree; Textile,681,600
candidate_034_symbolism_from_le_grand_muveran_villars_1912.jpg,8.8,56096,symbolism,From Le Grand Muveran Villars,Ferdinand Hodler,from-le-grand-muveran-villars-1912,landscape,Symbolism,Alps; mountains; Mountainous landforms; Mountain,750,533
candidate_035_symbolism_spanish_landscape_1878.jpg,8.8,56182,symbolism,Spanish landscape,Ferdinand Hodler,spanish-landscape-1878,landscape,Realism,autumn; forests-and-trees; Tree; Plant,529,600
candidate_036_symbolism_wiosna.jpg,8.8,56307,symbolism,Wiosna,Ferdynand Ruszczyc,wiosna,landscape,Impressionism,Tree; Branch; Plant; Woody plant; Sky,482,600
candidate_037_symbolism_mary_with_a_red_hat.jpg,8.8,56375,symbolism,Mary with a red hat,Franz Stuck,mary-with-a-red-hat,portrait,Symbolism,female-portraits; Hair; Face; Lady; Head; Beauty,577,600
candidate_038_romanticism_rider.jpg,8.8,38317,romanticism,Rider,Andrei Ryabushkin,rider,portrait,Romanticism,female-portraits; Bridle; Rein; Horse; Conquistador; Horse tack,460,600
candidate_039_romanticism_flores_de_mayo_y_paisaje_1896.jpg,8.8,38455,romanticism,Flores de mayo y paisaje,Arturo Michelena,flores-de-mayo-y-paisaje-1896,landscape,Romanticism,Tree; Flower; Plant; spring; Branch; Blossom,697,593
candidate_040_romanticism_forrest_in_the_end_of_the_autumn.jpg,8.8,38715,romanticism,Forrest in the end of the autumn,Caspar David Friedrich,forrest-in-the-end-of-the-autumn,landscape,Romanticism,Tree; Branch; Woodland; Woody plant; Forest; Plant,747,600
candidate_041_romanticism_grave_by_the_sea_1807.jpg,8.8,38718,romanticism,Grave by the Sea,Caspar David Friedrich,grave-by-the-sea-1807,landscape,Romanticism,Tree; Branch; Brown; Woody plant; Plant,750,527
candidate_042_romanticism_jetty_with_sailing_boats_1891.jpg,8.7,38194,romanticism,Jetty with sailing boats,Andreas Achenbach,jetty-with-sailing-boats-1891,marina,Romanticism,Boat; Vehicle; Watercraft; Ship of the line,745,600
candidate_043_romanticism_wc_bateaux_dans_le_port_de_greifswald_before_1810_1810_alte_nationalga.jpg,8.7,38780,romanticism,Ships at the port of Greifswald,Caspar David Friedrich,wc-bateaux-dans-le-port-de-greifswald-before-1810-1810-alte-nationalgalerie-90-70-cm-35-4-27-6,marina,Romanticism,sunrise-and-sunset; boats-and-ships; Vehicle; Sky; Boat; East indiaman; Frigate; Watercraft; Fluyt; Sailing ship; Ship of the line,469,600
candidate_044_realism_landscape_with_a_flowerbed_1917.jpg,8.69,22995,realism,Landscape with a flowerbed,Boris Kustodiev,landscape-with-a-flowerbed-1917,landscape,Realism,flowers-and-plants; gardens-and-parks; forests-and-trees; Tree; Natural landscape; spring; Plant; Flower,750,599
candidate_045_expressionism_minesweepers_at_sea.jpg,8.689,6188,expressionism,Minesweepers at Sea,Arthur Lismer,minesweepers-at-sea,marina,Expressionism; Realism; Ink and wash painting,Vehicle; Boat; Watercraft; Ship; Convoy rescue ship; Armored cruiser; Pre-dreadnought battleship; Ironclad warship; Warship; Gunboat,750,516
candidate_046_surrealism_sunlight_on_the_banks_of_the_loing.jpg,8.68,51672,surrealism,Sunlight on the Banks of the Loing,Francis Picabia,sunlight-on-the-banks-of-the-loing,landscape,Divisionism,rivers-and-waterfalls; forests-and-trees; Tree; Nature; Leaf; Natural landscape; Woody plant; Plant; autumn; Reflection,750,536
candidate_047_surrealism_the_effect_of_sun_on_the_banks_of_the_loing.jpg,8.68,51683,surrealism,The Effect of Sun on the Banks of the Loing,Francis Picabia,the-effect-of-sun-on-the-banks-of-the-loing,landscape,Impressionism,rivers-and-waterfalls; boats-and-ships; forests-and-trees; Tree; Nature; Woodland; Natural landscape; Natural environment; Woody plant; Plant,750,548
candidate_048_impressionism_a_fisherman_s_cottage.jpg,8.658,13150,impressionism,A Fisherman's Cottage,Childe Hassam,a-fisherman-s-cottage,landscape,Impressionism,flowers-and-plants; streets-and-squares; houses-and-buildings; House,710,600
candidate_049_impressionism_the_tuileries.jpg,8.652,13045,impressionism,The Tuileries,Berthe Morisot,the-tuileries,landscape,Impressionism,houses-and-buildings; forests-and-trees; Plant; Flower,363,600
candidate_050_impressionism_the_blue_vase.jpg,8.651,13013,impressionism,The Blue Vase,Berthe Morisot,the-blue-vase,still life,Impressionism,flowers-and-plants; Vase; Still life photography; Flower; Plant; Flowerpot,330,600
candidate_051_impressionism_roses_tremieres_hollyhocks_1884.jpg,8.65,12992,impressionism,Roses Tremieres (Hollyhocks),Berthe Morisot,roses-tremieres-hollyhocks-1884,landscape,Impressionism,flowers-and-plants; gardens-and-parks; forests-and-trees; Tree; Botany; Plant,496,600
candidate_052_realism_kineshma_steamer_at_the_pier_1906.jpg,8.649,22989,realism,Kineshma. Steamer at the pier,Boris Kustodiev,kineshma-steamer-at-the-pier-1906,sketch and study,Realism,rivers-and-waterfalls; boats-and-ships; Boat; Vehicle; Watercraft; Steamboat,750,572
candidate_053_impressionism_boulogne_wood.jpg,8.644,12884,impressionism,Boulogne Wood,Berthe Morisot,boulogne-wood,landscape,Impressionism,forests-and-trees; Tree; Woody plant; Plant,750,594
candidate_054_impressionism_springtime_san_gabriel_valley.jpg,8.643,12860,impressionism,"Springtime, San Gabriel Valley",Benjamin Brown,springtime-san-gabriel-valley,landscape,Impressionism,Natural landscape; Mountainous landforms; Meadow; Mountain; Wildflower; Flower,650,423
candidate_055_impressionism_vase_de_chrysanthemes_1885.jpg,8.635,12703,impressionism,Vase de chrysanthemes,Armand Guillaumin,vase-de-chrysanthemes-1885,flower painting,Impressionism,Flower; Plant; Flowerpot; Still life photography; Flowering plant; Chrysanths,488,600
candidate_056_impressionism_echo_rock_1905.jpg,8.633,12659,impressionism,Echo Rock,Armand Guillaumin,echo-rock-1905,landscape,Fauvism,Tree; Woody plant; Leaf; autumn; Plant,707,600
candidate_057_romanticism_not_detected_1_1.jpg,8.58,38740,romanticism,Sailing ship,Caspar David Friedrich,not-detected-1-1,marina,Romanticism,Sailing ship; Vehicle; First-rate; Watercraft; Fluyt; Boat; East indiaman; Ship; Flagship; Brig,413,600
candidate_058_expressionism_flowers_in_crystal_vase_1994.jpg,8.53,6609,expressionism,Flowers in Crystal Vase,Maria Bozoky,flowers-in-crystal-vase-1994,still life; flower painting,Expressionism,flowers-and-plants; Still life photography; Flower,453,600
candidate_059_surrealism_autoportrait_superposition_1978.jpg,8.52,51301,surrealism,Autoportrait (superposition),Endre Rozsda,autoportrait-superposition-1978,photo; self-portrait,Surrealism,Face; Head; Nose; Chin; Forehead; Human; Jaw,477,477
candidate_060_romanticism_head_of_boy.jpg,8.52,38295,romanticism,Head of Boy,Andrei Ryabushkin,head-of-boy,portrait,Realism,children portraits; Face; Chin; Head; Forehead; Cheek; Jaw,522,600
candidate_061_expressionism_still_life_with_sunflower_1931.jpg,8.411,6221,expressionism,Still Life with Sunflower,Arthur Segal,still-life-with-sunflower-1931,flower painting,Realism,Sunflower; Flower; Still life photography; Gerbera; Plant; Vase,376,570
candidate_062_impressionism_villa_with_orange_trees_nice.jpg,8.353,13055,impressionism,"Villa with Orange Trees, Nice",Berthe Morisot,villa-with-orange-trees-nice,landscape,Impressionism,houses-and-buildings; forests-and-trees; Tree,475,600
candidate_063_impressionism_portrait_of_a_young_girl_1880.jpg,8.349,12973,impressionism,Portrait of a Young Girl,Berthe Morisot,portrait-of-a-young-girl-1880,portrait,Impressionism,female-portraits; Face; Head; Lady; Cheek; Sketch,437,600
candidate_064_impressionism_flowers_1956.jpg,8.338,12752,impressionism,Flowers,Asgrimur Jonsson,flowers-1956,flower painting,Impressionism,Bouquet; Flower; Still life photography; Garden roses; Plant; Cut flowers,450,320
candidate_065_impressionism_aboard_a_yacht.jpg,8.143,12868,impressionism,Aboard a Yacht,Berthe Morisot,aboard-a-yacht,marina,Impressionism,boats-and-ships; Vehicle; Boat; Galleon; Sailing ship; Watercraft,750,579
candidate_066_expressionism_autumn_flowers.jpg,8.029,6573,expressionism,Autumn Flowers,Maria Bozoky,autumn-flowers,flower painting,Expressionism,flowers-and-plants; autumn; Flower; Still life photography; Plant,417,600
candidate_067_expressionism_red_house_in_park.jpg,8.02,6397,expressionism,Red house in park,August Macke,red-house-in-park,landscape,Expressionism,houses-and-buildings; gardens-and-parks; forests-and-trees; Tree,598,600
candidate_068_expressionism_house_in_a_landscape.jpg,8.018,6368,expressionism,House in a Landscape,August Macke,house-in-a-landscape,landscape,Expressionism,houses-and-buildings; forests-and-trees; Tree,575,600
candidate_069_expressionism_still_life_of_flowers.jpg,8.011,6215,expressionism,Still Life of Flowers,Arthur Segal,still-life-of-flowers,flower painting,Post-Impressionism,Orange; Plant; Tree; Flower,570,570
candidate_070_expressionism_flowers.jpg,8.01,6207,expressionism,Flowers,Arthur Segal,flowers,flower painting,Realism,Flower; wild pansy; Plant; Flowering plant; Pansy; Still life photography,400,570
candidate_071_expressionism_self_portrait_1.jpg,8.009,6181,expressionism,Self-portrait,Armand Henrion,self-portrait-1,self-portrait,Expressionism,Face; Head; Cheek; Nose; Forehead,365,475
candidate_072_expressionism_roses_1994.jpg,7.977,6733,expressionism,Roses,Maria Bozoky,roses-1994,still life; flower painting,Expressionism,flowers-and-plants; Cut flowers; Garden roses; Flower; Still life photography; Bouquet; Rose; Plant,480,600
